PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Rank
39.9,63.1,17,14.8,31.8,58.6,17,10,96.8,0,0,0,301,Hazardous
72.7,79.4,17,14.8,31.9,63.2,17,4.2,99,0,0,0,302,Hazardous
43.2,65.7,17.1,14.9,31.9,61.8,17.1,6,60,0,0,0.1,302,Hazardous
63.2,76.1,17,14.8,31.9,68.6,17,3.7,7.6,0,0,0,302,Hazardous
64.7,76.8,17,14.8,31.8,68.2,17,6.5,12.1,0,0,0,302,Hazardous
65.3,76.1,17,14.9,31.9,67.9,17,6.1,18.2,0,0,0,301,Hazardous
67.9,78.4,17,14.9,31.8,68.1,17,8.9,16.5,0,0,0,302,Hazardous
52.4,70.2,17,14.8,31.8,65.6,17,9.9,22.6,0,0,0,301,Hazardous
33.3,61.9,17,14.9,31.8,62.5,17,6.9,33.6,0,0,0,302,Hazardous
29.5,59.3,16.9,14.9,31.8,61.3,16.9,8.6,40.7,0,0,0,301,Hazardous
15.5,51.6,17,14.9,31.9,59.8,17,15.1,34.2,0,0,0,301,Hazardous
57.5,101.7,16.3,50.9,67.2,45,16.3,8.7,15.4,0,10.5,4.9,308,Hazardous
50.2,91.3,9.5,12.3,21.8,45.8,9.5,11.6,13.6,0,3.4,0.3,226,Severe
61.8,135.7,8.7,15.4,24.1,44.6,8.7,8.1,18.7,0,4.8,0.4,276,Severe
46.9,98.9,7.1,11.5,18.6,39.9,7.1,7.9,19,0,3.1,0.1,209,Severe
43,80.6,6.8,10,16.8,38.3,6.8,11.6,20.6,0,2.5,0.1,179,Very Unhealthy
42.1,77.9,8.4,11.4,19.8,41.5,8.4,11.6,28.1,0,3.2,0.2,197,Very Unhealthy
44.9,109.2,7.1,10.9,18.1,36.4,7.1,5.9,59.4,0,2.2,0.2,229,Severe
29.6,69.9,6.6,9.9,16.6,34.5,6.6,8.8,42.9,0,1.9,0.1,170,Very Unhealthy
32.2,69.2,6.5,9.7,16.2,34.7,6.5,9.2,39,0,2.7,0.2,164,Very Unhealthy
36.3,81.7,7.7,12.9,20.6,37.2,7.7,8.3,43.4,0,4.3,0.4,195,Very Unhealthy
24.5,82.4,8.5,11,19.4,38.1,8.5,12.6,44.6,0,2.5,0.2,220,Severe
67.1,130.9,17.6,28.4,31.4,26.3,2.2,14.2,34.4,3.3,8.4,2.4,164.7,Very Unhealthy
27.1,51,10,12.3,22.2,44.3,10,9.5,12.5,0,4.8,0.3,182.9,Very Unhealthy
59.3,92.4,9.2,9.7,18.9,47.7,9.2,6,7.7,0,3.2,0.2,217,Severe
65.3,106.4,10.6,9.6,20.2,52.3,10.6,3.7,4.7,0,3.6,0.2,254,Severe
47.4,100.9,9.3,10.5,19.7,46.1,9.3,7.7,7.7,0,3.4,0.2,241,Severe
43.9,106.3,8.7,19.8,28.4,43.2,8.7,4.8,11.5,0,3.2,0.2,244,Severe
28.4,94.7,9.1,13.6,22.7,42.2,9.1,7.5,16,0,3.3,0.2,243,Severe
3.6,65.2,11.3,14.2,25.4,43.4,11.3,9.6,20.4,0,4,0.5,244,Severe
3,77,16.3,21.5,37.8,54,16.3,13.7,30.1,0,9.3,0.8,327,Hazardous
19.1,174.7,10.3,30.6,40.9,39.1,10.3,11,29.4,0,8.4,1,390,Hazardous
69.1,112.9,8.9,32.4,41.3,42,8.9,15.6,28.5,0,7.2,0.7,231,Severe
76.4,139.7,18,34.7,52.7,64.8,18,15.4,31.5,0,7.5,1.2,396,Hazardous
102.5,255.7,33.3,37.9,71.2,81.7,33.3,27.3,24.9,19.8,51.3,15.1,731,Out of Range
127.9,274.8,11.1,28.4,39.5,57.4,11.1,25.6,15.2,8.1,29.2,3.2,466,Hazardous
87.2,133,7.8,21.5,29.3,44.5,7.8,7,23.2,5.6,17.3,2.3,230,Severe
99.7,86.7,20.2,30.2,50.4,73.1,20.2,32.7,20.9,8.6,27.2,4.2,309,Hazardous
84.2,242.8,15.8,32.1,47.9,60.5,15.8,19.4,23.1,8.3,23.8,4,519,Out of Range
92.1,156.5,18.2,32.5,50.7,63.4,18.2,31.8,30,6.3,26.4,4.3,397,Hazardous
94,163.5,27.1,37,64.1,86.5,27.1,24.9,23.5,10.9,41.2,6.1,517,Out of Range
150.3,367.5,15.9,34.9,50.8,66,15.9,26.4,32,9.1,37.8,5.1,653,Out of Range
118.9,234.1,5.4,29.2,34.6,39.6,5.4,79.5,24.9,6.2,12.9,1.7,355,Hazardous
